번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
1,등록체육시설업,10_31_03_P,6440000,3.02E+14,20161201,,1,영업/정상,1,영업,,,,,419340100,,,충청남도 보령시 남포면 양항리 645번지 3호,충청남도 보령시 남포면 개목수리섬길 196,,에스앤골프리조트,2.02E+13,U,40:00.0,,159694.119,309693.9247,골프장,,,,3,1910.45,,,
2,등록체육시설업,10_31_03_P,6440000,3.02E+14,20070601,,1,영업/정상,1,영업,,,,,,0,,충청남도 연기군 전의면 유천리 155번지,충청남도 연기군 전의면 운주산로 1510,,IMG National 컨트리클럽,2.01E+13,I,59:59.0,,,,골프장,,,,,10220.24,1994,회원제,
3,등록체육시설업,10_31_03_P,6440000,3.02E+14,20070725,,1,영업/정상,1,영업,,,,,,,,충청남도 공주시 정안면 인풍리 331번지,충청남도 공주시 정안면 방자들길 81-50,,프린세스 골프클럽,2.02E+13,U,40:00.0,,210242.5037,349859.5216,골프장,,,,5,4426.27,,정규대중,공주개발주식회사
4,등록체육시설업,10_31_03_P,6440000,3.02E+14,20080414,,1,영업/정상,1,영업,,,,,,,,충청남도 당진군 송산면 무수리 458번지 1호,충청남도 당진시 송산면 무수들길 90,,파인스톤컨트리클럽,2.02E+13,U,40:00.0,,170297.228,384469.311,골프장,,,,4,10797.15,,없음,
5,등록체육시설업,10_31_03_P,6440000,3.02E+14,20081211,,1,영업/정상,1,영업,,,,,,,,충청남도 부여군 은산면 나령리 산 3번지 1호,충청남도 부여군 은산면 충절로 3734-82,,나령대중골프장,2.01E+13,I,59:59.0,,181568.7016,316264.7536,골프장,,,,4,6024.63,0,없음,
6,등록체육시설업,10_31_03_P,6440000,3.02E+14,20081224,,1,영업/정상,1,영업,,,,,,,,충청남도 서산시 대산읍 화곡리 산 4번지 1호,충청남도 서산시 대산읍 삼길포7로 6,,윈체스트컨트리클럽 서산,2.02E+13,I,59:59.0,,150562.2719,387817.4795,골프장,,,,3,6224.12,600,없음,
7,등록체육시설업,10_31_03_P,6440000,3.02E+14,20081224,,1,영업/정상,1,영업,,,,,,,,충청남도 서산시 대산읍 화곡리 산 4번지 1호,충청남도 서산시 대산읍 삼길포7로 6,,서산수골프앤리조트,2.02E+13,I,59:59.0,,150562.2719,387817.4795,골프장,,,,3,6224.12,600,없음,
8,등록체육시설업,10_31_03_P,6440000,3.02E+14,20091016,,1,영업/정상,1,영업,,,,,,,,충청남도 아산시 영인면 신현리 산 33번지,충청남도 아산시 염치읍 영인산로 440,,주식회사 단톡,2.02E+13,U,40:00.0,,192858.6097,371331.1035,골프장,,,,8,15586.86,1030,없음,
9,등록체육시설업,10_31_03_P,6440000,3.02E+14,20091125,,1,영업/정상,1,영업,,,,,,0,,충청남도 천안시 동남구 북면 운용리 489번지,충청남도 천안시 동남구 북면 납안5길 74,,마론컨트리클럽,2.02E+13,I,59:59.0,,222938.3314,374055.8628,골프장,,,,,0,,회원제,(주)마론
10,등록체육시설업,10_31_03_P,6440000,3.02E+14,20100303,,1,영업/정상,1,영업,,,,,,0,,충청남도 공주시 의당면 청룡리 220번지 2호,충청남도 공주시 의당면 신성말길 67-38,,골드리버cc,2.01E+13,I,59:59.0,,214543.2247,333619.7366,골프장,,,,4,1941.68,,간이,주식회사 웅진
