번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
1,빙상장업,10_34_01_P,3390000,CDFH3301242005000001,20051220,,2,휴업,2,휴업,,20080301,20091231,,316-2920,,617846,부산광역시 사상구 학장동 797-1번지 8층,"부산광역시 사상구 대동로 95  (학장동,8층)",,성황리아이스링크,2.00806E+13,I,2018.8.31 23:59,,380187.1888,183935.9656,빙상장업,사립,0,,,,,,
2,빙상장업,10_34_01_P,4280000,CDFH3301242005000001,20050729,,2,휴업,2,휴업,,20180213,20231231,,033-330-8465,,,강원도 평창군 대관령면 용산리 130번지 용평리조트,"강원도 평창군 대관령면 올림픽로 715, 용평리조트",25352,용평리조트 빙상경기장,2.01802E+13,I,2018.8.31 23:59,,348259.1443,461699.2739,빙상장업,사립,Y,,1,7960.53,,,
3,빙상장업,10_34_01_P,4580000,CDFH3301242003000001,20031224,,2,휴업,2,휴업,,20200201,20211130,,041-956-0367,,325813,충청남도 서천군 마서면 도삼리 71-10,충청남도 서천군 마서면 장산로855번길 20,33657,드림월드 빙상장,2.02109E+13,U,2021.9.16 2:40,,176103.9814,280023.4647,빙상장업,사립,Y,0,1,566.21,0,,
4,빙상장업,10_34_01_P,3670000,CDFH3301242006000001,20061227,,3,폐업,3,폐업,20120622,,,,862-4000,,305340,대전광역시 유성구 도룡동 3-1번지,"대전광역시 유성구 대덕대로 480 (도룡동, 대전꿈돌이랜드빙상장)",305733,대전꿈돌이랜드빙상장,2.01206E+13,I,2018.8.31 23:59,,234414.0079,319679.5356,빙상장업,사립,,,,,,,
5,빙상장업,10_34_01_P,4220000,CDFH3301242013000001,20130103,,3,폐업,3,폐업,20140310,,,,033-581-2228,,235110,강원도 태백시 금천동 159번지,강원도 태백시 금천길 159 (금천동),235110,금천가든,2.01403E+13,I,2018.8.31 23:59,,375220.7923,400485.9056,빙상장업,사립,,,1,160,,,
6,빙상장업,10_34_01_P,3710000,CDFH3301241998000001,19980611,,3,폐업,3,폐업,20080624,,,,,,682808,울산광역시 동구 서부동 110-1번지,울산광역시 동구 명덕로 10  (서부동),,현대예술관 실내 빙상장,2.00806E+13,I,2018.8.31 23:59,,420447.3356,227528.2788,빙상장업,사립,0,,,,,,
7,빙상장업,10_34_01_P,4640000,CDFH3301242009000001,20091123,,3,폐업,3,폐업,20100323,,,,,,561807,전라북도 전주시 덕진구 덕진동1가 1220-1번지,전라북도 전주시 덕진구 기린대로 451  (덕진동1가),,펜퍼스픽트레이딩,2.01003E+13,I,2018.8.31 23:59,,211202.0329,259930.5222,빙상장업,사립,,,,,,,
8,빙상장업,10_34_01_P,4490000,CDFH3301242009000001,20091217,,3,폐업,3,폐업,20100406,,,,041-562-7727,,331979,충청남도 천안시 서북구 백석동 255-1번지,,,천안시생활체육겨울캠프,2.01004E+13,I,2018.8.31 23:59,,,,빙상장업,사립,,0,0,0,0,,
9,빙상장업,10_34_01_P,4490000,CDFH3301242010000001,20101214,,3,폐업,3,폐업,20110303,,,,041-561-7727,,331979,충청남도 천안시 서북구 백석동 255-1번지,,,천안시생활체육겨울캠프,2.01103E+13,I,2018.8.31 23:59,,,,빙상장업,사립,Y,0,0,0,0,,
10,빙상장업,10_34_01_P,4490000,CDFH3301242011000001,20111207,,3,폐업,3,폐업,20120213,,,,552-1134,,331220,충청남도 천안시 서북구 백석동 255-1번지,,,천안종합운동장 야외스케이트장,2.01202E+13,I,2018.8.31 23:59,,,,빙상장업,사립,Y,1,9,0,0,,
