번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
1,승마장업,10_38_01_P,4690000,CDFH3301252015000001,20150915,,2,휴업,2,휴업,,20201111,20211111,,531-0440,,,,전라북도 정읍시 서부산업도로 124-49 (상평동),56208,정읍 승마 클럽,2.02011E+13,U,2020.11.14 2:40,,185339,228833,승마장업,사립,,1,,94.51,,,
2,승마장업,10_38_01_P,4070000,CDFH3301252016000001,20160617,,2,휴업,2,휴업,,20200207,20220207,,8011-3806,,,경기도 이천시 부발읍 고백리 78번지,경기도 이천시 부발읍 부흥로 42,17317,태극호스파크,2.02002E+13,U,2020.2.9 2:40,,247547.7853,421844.2938,승마장업,사립,Y,1,,,,,
3,승마장업,10_38_01_P,4940000,CDFH3301252010000001,20100524,,2,휴업,2,휴업,,20200227,20210226,,061-461-2002,,526893,전라남도 영암군 삼호읍 동호리 1040-3번지,전라남도 영암군 삼호읍 백야길 29-216,,천마승마클럽,2.02002E+13,U,2020.3.1 2:40,,154144.2532,140356.2324,승마장업,사립,,1,4,292.9,,,
4,승마장업,10_38_01_P,6520000,CDFH3301252016000001,20161021,,2,휴업,2,휴업,,20220103,20221231,,,,,제주특별자치도 서귀포시 안덕면 광평리 산 91,,,아덴힐승마장,2.02201E+13,U,2022.1.5 2:40,,140506.2068,-17125.84908,승마장업,사립,Y,1,1,459.68,0,,
5,승마장업,10_38_01_P,6520000,CDFH3301252012000001,20120428,,2,휴업,2,휴업,,20220331,20241231,,064-794-5220,,,제주특별자치도 서귀포시 안덕면 서광리 산 50-33,제주특별자치도 서귀포시 안덕면 녹차분재로 239,63521,서광승마장,2.02203E+13,U,2022.4.2 2:40,,133876.8033,-21261.74063,승마장업,사립,,0,0,112.32,0,,
6,승마장업,10_38_01_P,4090000,CDFH3301252002000001,20020918,,2,휴업,2,휴업,,20210707,20220706,,,,415862,경기도 김포시 통진읍 고정리 295-4,경기도 김포시 통진읍 고척로228번길 48,,휘담승마장,2.02107E+13,U,2021.7.25 2:40,,164067.5416,468744.3734,승마장업,사립,Y,0,5,1693.76,0,,
7,승마장업,10_38_01_P,5240000,CDFH3301252011000001,20110706,,2,휴업,2,휴업,,,,,546730534,,755802,경상북도 봉화군 봉화읍 석평리 717번지,경상북도 봉화군 봉화읍 유록길 22-1,,봉화군 승마교육장,2.01911E+13,U,2019.11.29 2:40,,353737.2015,377068.9344,승마장업,사립,,,,,,,
8,승마장업,10_38_01_P,4190000,CDFH3301252000000001,20000613,,2,휴업,2,휴업,,20210715,20221231,,747-8115,,,강원도 원주시 봉산동 73-5,강원도 원주시 화실유암길 109-25 (봉산동),26454,원주승마장,2.02107E+13,U,2021.8.1 2:40,,287286.7593,428072.405,승마장업,사립,,0,0,0,0,,
9,승마장업,10_38_01_P,4080000,CDFH3301252010000001,20101110,,2,휴업,2,휴업,,20190830,,,031-677-3826,,456931,경기도 안성시 양성면 동항리 599-2번지,경기도 안성시 양성면 천덕산로 917,17502,안성승마클럽,2.02001E+13,U,2020.1.17 2:40,,215878.4319,395721.8097,승마장업,사립,Y,1,,,,,
10,승마장업,10_38_01_P,5710000,CDFH3301252004100001,20040729,,2,휴업,2,휴업,,20210901,20250831,,,,,충청북도 청주시 흥덕구 옥산면 동림리 산 53,충청북도 청주시 흥덕구 옥산면 동림2길 149,28103,떼제베승마장,2.02109E+13,U,2021.9.8 2:40,,228318.7977,351791.5069,승마장업,사립,Y,1,3,4490.84,0,,
